kode,asal,tujuan,tanggal,harga,kursi
FL001,Pekanbaru,Jakarta,2026-06-01,1200000,20
FL002,Jakarta,Bali,2026-06-02,1500000,15
FL003,Medan,Batam,2026-06-03,800000,10
FL004,Batam,Surabaya,2026-06-04,1350000,18
FL005,Padang,Yogyakarta,2026-06-05,1100000,12
FL006,Bandung,Medan,2026-06-06,1450000,16
FL007,Jakarta,Makassar,2026-06-07,1700000,14
FL008,Pekanbaru,Batam,2026-06-08,750000,25
FL009,Surabaya,Bali,2026-06-09,950000,20
FL010,Yogyakarta,Jakarta,2026-06-10,1000000,22
FL011,Medan,Pekanbaru,2026-06-11,900000,17
FL012,Bali,Lombok,2026-06-12,650000,30
FL013,Makassar,Jakarta,2026-06-13,1800000,11
FL014,Batam,Pekanbaru,2026-06-14,700000,19
FL015,Surabaya,Bandung,2026-06-15,980000,21
FL016,Jakarta,Semarang,2026-06-16,850000,24
FL017,Semarang,Bali,2026-06-17,1250000,18
FL018,Bandung,Batam,2026-06-18,1150000,16
FL019,Lombok,Jakarta,2026-06-19,1400000,13
FL020,Padang,Medan,2026-06-20,780000,20
FL021,Pekanbaru,Yogyakarta,2026-06-21,1120000,17
FL022,Jakarta,Balikpapan,2026-06-22,1650000,15
FL023,Balikpapan,Makassar,2026-06-23,980000,19
FL024,Makassar,Bali,2026-06-24,1200000,18
FL025,Bali,Surabaya,2026-06-25,920000,22
FL026,Surabaya,Jakarta,2026-06-26,890000,25
FL027,Medan,Bandung,2026-06-27,1320000,14
FL028,Yogyakarta,Lombok,2026-06-28,1180000,16
FL029,Batam,Padang,2026-06-29,760000,20
FL030,Semarang,Pekanbaru,2026-06-30,1090000,15
FL031,Jakarta,Medan,2026-07-01,1450000,18
FL032,Bali,Jakarta,2026-07-02,1550000,20
FL033,Padang,Batam,2026-07-03,810000,17
FL034,Surabaya,Makassar,2026-07-04,1380000,14
FL035,Bandung,Yogyakarta,2026-07-05,720000,26
FL036,Pekanbaru,Bali,2026-07-06,1750000,12
FL037,Lombok,Surabaya,2026-07-07,870000,23
FL038,Jakarta,Batam,2026-07-08,980000,19
FL039,Medan,Jakarta,2026-07-09,1420000,16
FL040,Balikpapan,Bali,2026-07-10,1490000,13
FL041,Semarang,Jakarta,2026-07-11,830000,24
FL042,Yogyakarta,Bandung,2026-07-12,710000,28
FL043,Batam,Medan,2026-07-13,790000,21
FL044,Makassar,Pekanbaru,2026-07-14,1720000,10
FL045,Jakarta,Lombok,2026-07-15,1600000,14
FL046,Bali,Padang,2026-07-16,1430000,15
FL047,Surabaya,Batam,2026-07-17,1210000,18
FL048,Pekanbaru,Semarang,2026-07-18,1040000,20
FL049,Medan,Yogyakarta,2026-07-19,1340000,11
FL050,Bandung,Jakarta,2026-07-20,680000,30
